Brasil,SP,RJ,MG,PR,RS,SC,ES
6.324,7.057,6.161,4.050,12.694,4.860,5.196, 
7.000,5.000,6.100,6.658, ,21.436, , 
4.000,5.400,4.498,4.500,4.062,4.500,4.000,4.054
5.374,5.500,5.500,4.685,5.000,5.578,6.032,4.565
5.342,8.572,5.277,5.300, ,7.797, , 
4.189, ,1.912, , , , , 
7.500,8.685,7.500,6.790,6.852,7.000,7.000,6.037
5.058,5.500,5.040,4.531,4.230,4.983,5.059,3.959
5.374,5.500,5.500,4.685,5.000,5.578,6.032,4.565
5.000,5.880,5.029,4.610,4.589,4.901,5.225,5.500
9.000,10.000,9.000,7.350,7.000,7.000,7.404,6.032
3.968,4.000,4.308,3.817,3.320,3.625,3.952,4.525
2.300,2.300,2.184,2.204,2.424,2.447,2.624,2.472
9.095, , , , ,9.095, , 
2.893,2.953,2.986,2.487,3.357,3.257,3.190,2.588
2.000,2.200,2.000,2.000,2.009,2.100,2.161,1.965
4.486,5.115,5.034,3.716,3.762,3.600,4.824,2.970
12.000,12.227,12.631,10.000,12.238,9.042,8.000,11.373
2.550,2.872,3.110,2.128,2.749,2.592,3.089,2.500
4.948,5.500,7.416,4.763,4.171,5.088,4.603,5.100
6.628,7.423,7.100, , , ,4.800, 
4.500,5.000,4.243,4.044,4.000,4.258,4.330,3.984
14.535,14.535,12.734, , ,16.610, , 
12.000,20.000,16.998,12.477,11.434,10.000,10.213,12.000
3.968,4.000,4.308,3.817,3.320,3.625,3.952,4.525
4.000,5.400,4.498,4.500,4.062,4.500,4.000,4.054
7.500,8.585,7.500,6.754,6.852,7.000,7.000,6.037
7.630,8.000,7.548,7.000,7.400,7.068,7.050,6.585
2.300,2.500,2.360,2.196,2.336,2.571,2.900,2.436
4.844,5.300,5.000,4.000,4.100,4.012,4.270,4.547
13.550,15.000,16.104,9.486,7.502,13.940,10.218,11.750
2.300,2.500,2.360,2.196,2.336,2.571,2.900,2.436
6.047,6.926,6.536,6.174,4.906,6.000,5.984,3.215
4.482,4.253,4.429,4.465,3.738,6.227,5.053,4.118
10.000,11.000,10.229,9.000,8.493,9.000,8.500,8.284
5.027,6.000,5.321,4.649,4.622,4.543,5.332,2.828
5.027,6.000,5.321,4.649,4.622,4.543,5.332,2.828
3.770,4.277,3.792,3.898,3.658,3.810,2.922,4.122
4.979,3.300,1.728, , ,6.658,8.000, 
5.070,6.064,6.952,3.551,5.786,4.889,4.433,1.947
4.486,5.115,5.034,3.716,3.762,3.600,4.824,2.970
4.823,4.367,4.869, , , ,3.908, 
12.500,13.650,12.913,11.500,10.104,10.479,11.870,11.559
4.799,6.107, ,3.710,6.169,4.657,3.653, 
12.981,14.920,6.211,11.525,14.237,10.378,10.901,24.444
19.322,20.000,18.959,15.159,15.803,16.000,17.636,6.870
4.500,5.000,4.243,4.044,4.000,4.258,4.330,3.984
5.000,5.359,4.333,10.000,6.500,2.637,2.900,10.244
7.445,7.869,8.278,7.841,7.457,6.535,6.540,6.250
2.000,2.200,2.000,2.000,2.009,2.100,2.161,1.965
5.680,6.000,5.684,5.683,4.140,4.649,5.400,3.215
2.300,2.500,2.360,2.196,2.336,2.571,2.900,2.436
12.500,13.650,12.913,11.500,10.104,10.479,11.870,11.559
6.000,6.038,6.880,5.500,3.639,11.848,3.500,4.050
2.300,2.500,2.360,2.196,2.336,2.571,2.900,2.436
8.665,9.980,9.500,7.112,7.330,70.753,7.434,92
5.400,5.510, , , , ,2.474, 
5.128,7.000,4.546,4.500,4.814,7.547,6.000, 
1.677,1.683,2.200,1.580,2.000,599,1.255,1.355
10.617,14.970, , ,10.617, ,6.459, 
2.632,3.316,2.966,2.043,1.728,1.576,2.826,1.677
8.500,9.000,8.500,7.000,7.894,8.207,7.672,6.708
9.458,9.858,10.824,4.848,3.185, , , 
2.170,2.200,2.174,2.203,1.852,2.267,2.257,2.500
7.500,11.237,7.500,4.705,6.351,8.034,5.097,8.000
6.000,6.000,6.940,6.032,5.415,4.997,6.784,5.243
1.500,1.448,1.500, , ,12, , 
4.486,5.115,5.034,3.716,3.762,3.600,4.824,2.970
12.000,12.737,10.852,11.117,10.509,12.729,13.500,8.472
6.500,6.500,5.500,5.254,5.400,5.200,5.704,5.750
7.500,8.685,7.500,6.790,6.852,7.000,7.000,6.037
12.500,13.650,12.913,11.500,10.104,10.479,11.870,11.559
5.000,5.880,5.029,4.610,4.589,4.901,5.225,5.500
11.884,12.647,11.938,9.129,9.690,11.521,11.171,13.406
10.000,10.170,9.310,9.578,8.500,9.412,9.000,7.692
5.228,6.820, ,5.282,5.144, , , 
